date,mwh_gross_park,cr,mwh_delivered,p_market,cf,p_wind_merchant,eeg_on,strike_cod_fixed,p_wind_realised,revenue_eur,eeg_premium_eur,strike_source
2031-04-01,11084.33,0.0343935037761117,10703.101054289331,46.41487532724648,0.8330269129272503,38.66484030775933,1,51.14574865619333,51.14574865619333,547418.1163645199,133584.42330261244,from_series_asof
2031-05-01,9711.16,0.0343935037761117,9377.159181869574,44.79669398114041,0.8491613492391543,38.03962110247869,1,51.14574865619333,51.14574865619333,479601.8266250167,122898.24432906901,from_series_asof
2031-06-01,8699.48,0.0343935037761117,8400.274401769791,52.03233747031638,0.8683703193386879,45.18333750503701,1,51.14574865619333,51.14574865619333,429638.32319597254,50085.889765885164,from_series_asof
2031-07-01,8253.4,0.0329607478335495,7981.361763830582,59.99809387246307,0.8414231488838217,50.48378507319501,1,51.14574865619333,51.14574865619333,408212.7227070308,5283.370830391069,from_series_asof
2031-08-01,8694.29,0.0329607478335495,8407.71969971825,68.08399652588372,0.8625859758584377,58.72830058362189,1,51.14574865619333,58.72830058362189,493771.0897478925,0.0,from_series_asof
2031-09-01,9498.05,0.0329607478335495,9184.987169039554,68.93890343689054,0.8484624720084862,58.492072427618474,1,51.14574865619333,58.492072427618474,537248.934738208,0.0,from_series_asof
2031-10-01,11457.48,0.037656512754273,11026.031258248173,58.60673297125959,0.8005662133186292,46.91857028977734,1,51.14574865619333,51.14574865619333,563934.6234096921,46609.00080229309,from_series_asof
2031-11-01,11706.28,0.037656512754273,11265.46231787491,68.08477150970634,0.8176605299620106,55.670230354968886,1,51.14574865619333,55.670230354968886,627150.8822913179,0.0,from_series_asof
2031-12-01,13217.65,0.037656512754273,12719.919394193485,69.40447885444422,0.7345181264732698,50.978847777020036,1,51.14574865619333,51.14574865619333,650569.8002624589,2122.9657299042833,from_series_asof
2032-01-01,12077.99,0.0382331398384663,11616.210519362401,60.75823197554888,0.7946731405948446,48.28293502099954,1,51.14574865619333,51.14574865619333,594119.7835607383,33255.0458641122,from_series_asof
2032-02-01,11315.41,0.0382331398384663,10882.78634714042,55.63721094344635,0.8238701107707332,45.837835142951796,1,51.14574865619333,51.14574865619333,556608.2551898962,57764.88871370706,from_series_asof
2032-03-01,10792.09,0.0382331398384663,10379.474513880687,55.99697042740411,0.8052014458631108,45.088841552099645,1,51.14574865619333,51.14574865619333,530865.994670306,62867.512919883244,from_series_asof
2032-04-01,9619.93,0.0344344977621651,9288.672541942815,48.88049429607648,0.831314074032099,40.63504285397411,1,51.14574865619333,51.14574865619333,475076.11117989157,97630.50438151264,from_series_asof
2032-05-01,9039.84,0.0344344977621651,8728.55764974967,47.24598408552714,0.8474153353173173,40.036971446233615,1,51.14574865619333,51.14574865619333,446428.61568519013,96963.60229535864,from_series_asof
2032-06-01,8151.34,0.0344344977621651,7870.652701011353,54.55389496907984,0.8665848086483648,47.27557663280305,1,51.14574865619333,51.14574865619333,402550.4248061158,30460.77988927524,from_series_asof
