sim,revenue_total_eur,eeg_premium_total_eur,mwh_delivered_total,mwh_gross_park_total,avg_p_market,avg_p_realised
524,616620708.3052316,145449360.34703588,3915261.5736370184,4320000.0,148.8783329864962,156.9382865987353
525,588522818.8418938,138970761.791488,3916356.6212950214,4320000.0,142.19862184365402,149.67370893568523
526,577382960.4592725,135700031.62288958,3948802.517841742,4320000.0,138.59965116485037,145.96618091415348
527,575467115.4312782,135516217.35896373,3934830.2059124336,4320000.0,138.23771965019085,145.59587667706512
528,578364881.4852052,135706174.9849035,3937166.4345457167,4320000.0,139.1381380110923,146.5502728764078
529,595969639.358508,139855408.02356684,3936382.166524901,4320000.0,143.49105529235553,151.19729478968546
530,605243306.4746505,140853029.70495674,3927613.8816880714,4320000.0,145.87031760522197,153.62379491561407
531,605992653.5825253,143061572.47132334,3918896.1436736104,4320000.0,146.20848549662847,154.00136212936224
532,590359521.0225749,135631571.5873505,3930254.3293701727,4320000.0,142.03474141026177,149.65257797796076
533,607745856.5848618,142777416.58402112,3955470.088515142,4320000.0,145.3662447490459,153.2637312478716
534,609913670.872581,145151672.73733065,3913962.088483451,4320000.0,147.3494265436718,155.13669444993354
535,587032095.8116344,137599066.2118151,3940139.5881033605,4320000.0,140.77238140048328,148.39210322527347
536,567525027.9776618,132010007.23683715,3920127.1818619133,4320000.0,136.8351135081889,144.22746791849903
537,613271908.5098578,146184459.27900502,3953676.577478766,4320000.0,146.6221585799732,154.43012326887435
538,589544956.1341535,135975452.86740243,3903045.460993172,4320000.0,142.80063051928607,150.37118142001538
539,604039391.8209622,143109218.674183,3925294.571110651,4320000.0,145.61102611246608,153.3196222503037
540,596430499.6535021,140790439.7651148,3912047.938670126,4320000.0,144.0070877077374,151.69158212915738
541,593678242.4432586,140798167.80701545,3916915.9283517995,4320000.0,143.46061087259147,151.20922655757832
542,585710462.2394152,137499809.91235644,3950630.8840206275,4320000.0,140.58196585477734,148.09052857540965
543,577596723.49152,133567488.7015041,3909497.482590245,4320000.0,139.74246041752926,147.27936878646258
544,582397161.2413843,136333033.19224036,3933202.068342952,4320000.0,140.0958650426491,147.49472032473537
545,590973488.5857695,142378420.0578531,3959923.780515666,4320000.0,141.23876674068745,148.72980211550052
546,586468725.18172,139149969.86077595,3956140.155137731,4320000.0,140.32113153469837,147.85003485135243
547,588993549.6466982,136201207.63824347,3932615.913941396,4320000.0,141.74077711319532,149.33312068032703
548,594641628.1618912,139127276.50273257,3933897.974123139,4320000.0,143.04464511090816,150.76295675692225
549,557747014.2153665,132217591.05207326,3926468.940217112,4320000.0,134.4694462822005,141.63719590934429
550,557769776.3911918,132131169.57441601,3925463.490850579,4320000.0,134.5422870128588,141.7584807106043
551,593584524.3491654,140881537.20898208,3917901.6890406897,4320000.0,143.36871682860183,151.04078628346977
552,572607977.0151144,133304564.0981532,3932774.7686853306,4320000.0,137.99636232718055,145.40379038432687
553,580981761.1670259,138651404.5200545,3942514.3031402766,4320000.0,139.28036709770694,146.80142480736842
554,597658403.6582018,139860721.39201602,3934972.985974617,4320000.0,143.89703519675788,151.53220567291746
555,588778212.54903,138698545.89906126,3947861.630971483,4320000.0,141.35458079561286,148.895369492983
556,582419673.4427884,136079212.03751835,3937598.748289145,4320000.0,139.91943367226907,147.48333675478236
557,592188977.3029852,140428702.0606228,3915171.821658263,4320000.0,143.2610831652751,150.96289182254267
558,606586632.4394128,142324507.81275526,3935168.46508764,4320000.0,146.04735337444836,153.80852118795644
559,613209582.375196,143770234.5054024,3929778.626508171,4320000.0,147.90523818874541,155.91780536758105
560,622391976.3335325,147878624.1550187,3944007.022668346,4320000.0,149.36396230873322,157.43632841953632
561,620085889.4435399,146595011.01612693,3940728.8269062494,4320000.0,148.90059043336356,156.77340825071175
562,575392153.6760908,136985339.15435928,3937801.795717614,4320000.0,138.20927291368596,145.6076546646007
563,627583393.2783494,148869849.26347125,3933895.751332689,4320000.0,150.83324638602633,158.91473954648322
564,557328002.7822285,130927376.18947387,3923058.4732327117,4320000.0,134.39217306270973,141.61202249768823
565,596106344.4050685,143265404.1518268,3925247.2760885768,4320000.0,143.725233540334,151.38603415389127
566,597927760.6813326,144870503.1905494,3943587.877097837,4320000.0,143.33899588792139,150.93616138855128
567,575374246.2156448,133049892.36838703,3928386.1109258397,4320000.0,138.8311589028147,146.20595077445162
568,577229311.3850659,139682558.9919373,3916366.952032875,4320000.0,139.3060919612394,146.75219554216724
569,585669151.0679601,139112416.37504426,3928142.037371462,4320000.0,141.0397659652953,148.59821105613239
570,596856208.4607369,142825971.15694946,3945555.741036165,4320000.0,143.1846045805688,150.84426084824437
571,592302279.9215918,138783523.34374747,3942541.6071323827,4320000.0,142.0610013789411,149.58060715729223
572,584722859.2962446,134937754.0365382,3934141.1582021513,4320000.0,140.76178464540212,148.25323084040136
573,577388092.40954,135911909.986787,3928108.1788996365,4320000.0,139.15871770865763,146.76495806314264
574,581076696.9286246,136863433.48974338,3934247.1561811217,4320000.0,139.73500616398988,147.26305029434738
575,570979941.8787262,135118987.3242201,3928806.4493952496,4320000.0,137.4617955870873,144.7581991376709
576,580144363.7873558,139737331.08365467,3885938.6104398784,4320000.0,141.25081504194816,148.85396074496012
577,576502260.8780392,139834261.60268176,3934017.2040507183,4320000.0,138.86539331592772,146.35270424420048
578,568880937.7129391,136105349.63291678,3927717.35886777,4320000.0,136.9531041062595,144.20486121780434
579,592929153.1405886,141216075.4219435,3926328.7597501283,4320000.0,142.81696735806537,150.4221164348278
580,588957282.6240419,138556818.90835512,3931359.4752941406,4320000.0,141.72717010785104,149.21450760082797
581,573536510.5093808,133443246.77378361,3931475.906357632,4320000.0,138.3039268766974,145.70159081035308
582,591175892.3923302,141143673.64742336,3946311.800478561,4320000.0,141.8384830446459,149.32113417198988
583,632311601.4891042,144286631.17150262,3927639.3850931483,4320000.0,152.33178783773383,160.32482035669227
584,589611892.9196719,139057790.33187088,3924642.0535821747,4320000.0,142.09360433012705,149.51970881781233
585,600060710.6420022,139665344.62907895,3948002.343474005,4320000.0,143.9299955869503,151.67678920561676
586,615723295.5905347,142790841.1962385,3944140.628797091,4320000.0,147.78093993282488,155.6778656470342
587,582640492.1724668,137346577.1448632,3956580.0593592287,4320000.0,139.41337069205267,146.80681572687607
588,599956223.8593627,139565935.9338423,3949557.7321524145,4320000.0,143.6850808212677,151.3619409159472
589,575858166.4897715,134032209.29917504,3924567.2040414014,4320000.0,138.8027353152398,146.3267661065569
590,579167587.8111489,137301500.18049204,3936289.687503974,4320000.0,139.24378695933038,146.66478684093013
591,581561814.1333531,139278021.89608693,3925725.6209556134,4320000.0,140.33689383196779,147.68190569443638
592,564685938.8397336,137420195.68370262,3932902.2648974396,4320000.0,135.9131880534524,143.17711307796833
593,587111514.3171451,139114097.39990488,3947560.729338468,4320000.0,140.83130466792377,148.43868440744524
594,594116980.7393361,140632775.48083392,3946209.755985412,4320000.0,142.62282145197202,150.19497517987872
595,581601728.4041712,137977355.48889002,3945819.979955849,4320000.0,139.48381182645556,146.96925506601198
596,627743876.4892896,145385267.80700824,3932750.7937882184,4320000.0,150.89211842097603,158.91287986864114
597,584983264.4023799,138011767.27873316,3937447.0582704227,4320000.0,140.3536200442639,147.91034112864904
598,566102372.0117371,133561408.20156868,3917582.6144462647,4320000.0,136.8045908499843,144.0529799086889
599,565528952.1253587,137252889.1174359,3918563.8073186544,4320000.0,136.43085714447582,143.6427149140396
600,628644428.0217061,148867535.73209822,3926990.0114991358,4320000.0,151.65191145532697,159.7498988718985
601,597532116.2003765,138606760.00710568,3948300.7712955456,4320000.0,143.09636394449652,150.7056039741017
602,597614555.371548,140750419.20000502,3928752.0034458335,4320000.0,143.7392414434548,151.4457594879856
603,572754605.3958255,132597927.26786546,3932932.9998595784,4320000.0,137.99568377067516,145.3583995200866
604,595199755.622745,141800272.18504724,3919718.1702404167,4320000.0,143.48361707905522,151.11260952213442
605,573909507.3031403,134116921.06875771,3934358.1803021803,4320000.0,137.86948849899352,145.2285377239906
606,561077092.0805233,130613646.51508541,3931322.3191795116,4320000.0,135.04910396883108,142.25456069973737
607,542971495.208103,129312269.88714066,3930885.6306926236,4320000.0,130.6016966179162,137.52739383182941
608,594994840.5621134,139921843.81270435,3924043.2145385104,4320000.0,143.35725007426427,150.94527139301005
609,599551225.8993459,138115059.22462028,3918065.6212813533,4320000.0,145.0633484466336,152.8283437084544
610,557773342.1662265,131456183.90951242,3948180.901982284,4320000.0,133.52137626675318,140.64234232220818
611,596170381.7719698,138796484.27156904,3920193.580840706,4320000.0,144.07083444174575,151.7864905573954
612,583484730.6786014,137447891.1898886,3943581.3600597526,4320000.0,140.04987513176349,147.5220041887028
613,606379375.4262227,141424020.3332107,3922782.571337327,4320000.0,146.26839179540534,154.05499834853106
614,580414859.8336655,138457089.03000844,3943671.187503112,4320000.0,139.42605138492127,146.77172035336181
615,591840182.249999,136996142.79779166,3922431.390406396,4320000.0,142.85678964717073,150.6214654774051
616,575137290.9600799,135537138.22988722,3936562.6242447016,4320000.0,138.286801776979,145.71030491339997
617,613511266.0854987,145175511.2986296,3935518.0490025175,4320000.0,147.7833633848319,155.718891996093
618,580926483.3706157,135050758.5348476,3933657.380506197,4320000.0,139.84069262649808,147.30984605670548
619,610206140.9878215,141978446.4940091,3940159.671131531,4320000.0,146.6323617712923,154.488062987643
620,587400879.4745843,138532510.291427,3933835.9186428096,4320000.0,141.30097126617602,148.91482542914915
621,582150553.4000481,138436642.88674816,3942420.1749044266,4320000.0,139.72802993945604,147.1930260552235
622,605202242.33975,143235591.1586614,3937804.185085326,4320000.0,145.22456891669714,152.95365626477587
623,608759719.087279,143960747.21779814,3922170.3718396965,4320000.0,147.2069556465267,155.06000447656015
624,602774306.9817733,142698924.70041522,3940094.7457161155,4320000.0,144.7548272490538,152.61306280808168
625,574488796.3652003,138143842.09129903,3938799.1474592276,4320000.0,138.12625930053264,145.51709841684544
626,563668267.5225874,134189800.03224422,3933304.347348852,4320000.0,135.92072467277563,143.15932016422275
627,590677717.6979622,140540978.74905774,3931129.874025626,4320000.0,142.2951204767334,150.01763216935646
628,596498573.5538409,138374238.88929382,3936805.904217998,4320000.0,143.40790882137233,151.16133596282188
629,584520630.654699,138643836.6067103,3935842.3316162596,4320000.0,140.67890046643046,148.13426904414382
630,585847240.0044185,139503404.6219379,3932718.4927914436,4320000.0,140.95410265183267,148.3897121496878
631,577224987.9473774,135637783.9395677,3934907.8900609887,4320000.0,138.8065430291555,146.16663299774893
632,591098554.8223318,139729321.32658997,3924612.5067028557,4320000.0,142.35741390710098,149.9371836894454
633,565717174.9684107,135081156.248111,3925159.2872154135,4320000.0,136.49792711572044,143.79024135090847
634,629485974.81886,146756777.4721251,3936533.7539319033,4320000.0,151.5957043329084,159.60898919105276
635,565771313.4705154,133259771.48448883,3929645.348411702,4320000.0,136.20766805639616,143.4858727573333
636,592937131.0365313,139772910.39406765,3925730.6576954382,4320000.0,142.69786553922168,150.37931218402946
637,575846736.3454819,136714485.07624355,3918320.6340799998,4320000.0,139.1733708934665,146.54803625404818
638,604713101.440689,142790283.3814328,3961711.78385193,4320000.0,144.44340747589396,152.19170955914674
639,602258460.0416595,141332094.20991766,3920499.125693551,4320000.0,145.25963944739388,153.07812308836736
640,606546132.1969497,141521666.47801083,3936399.5454611448,4320000.0,145.83789662766262,153.62728790229272
641,588409893.7159014,140953914.44836834,3909296.459550182,4320000.0,142.26939549262065,149.89247346148463
642,598821464.0464358,140693265.89769384,3935151.182421088,4320000.0,143.9794752088577,151.7274001223337
643,572734354.1576188,139553966.26021838,3918035.3303803876,4320000.0,138.56053771303536,146.0086888238992
644,607069207.181405,144161019.77313825,3906866.3834420596,4320000.0,147.20640139263907,154.98696090972862
645,565702790.8259866,132214855.19958837,3940468.0113985213,4320000.0,135.9039108342133,143.14553424663137
646,587609037.9556586,137618831.50539622,3922323.584046554,4320000.0,141.6580512797597,149.21260260469808
647,597543179.247316,138015620.3310801,3925958.0613580607,4320000.0,143.95479450931757,151.63419737057268
648,609957294.905402,148100813.63457584,3932045.3336704127,4320000.0,146.64958554923388,154.46818789187253
649,580412271.1340245,136261528.96939868,3933608.4930916675,4320000.0,139.94765885147612,147.46798657329478
650,583925502.466841,135720591.72942194,3935117.9456962147,4320000.0,140.50082743078113,148.0502143998445
651,620094489.0869662,144513214.21779165,3941241.9458794785,4320000.0,148.81995110224196,156.81804690959214
652,574148690.6075914,136023634.78792816,3944306.618045048,4320000.0,137.87820310289504,145.2475790952039
653,595473116.980342,140567832.176542,3921464.4825870884,4320000.0,143.87878829901513,151.61882705520847
654,600496031.4375073,141621357.43391302,3955497.2677936116,4320000.0,143.6995037913251,151.35976460583115
655,597643439.5959084,140532878.34465346,3918100.0165747986,4320000.0,144.35706584293604,152.0719158994888
656,618597648.0221786,141785477.446982,3939310.3573279297,4320000.0,148.6433684441754,156.58613880262052
657,616453799.8594831,141928483.3775837,3943458.0492830076,4320000.0,148.12246496698063,155.9438443755772
658,597836301.5157665,140908693.48001486,3920707.404084603,4320000.0,144.40761436640943,152.04856626874272
659,572364460.1634802,136821301.30939448,3934534.455311385,4320000.0,137.7709131106962,145.201360622467
660,572231430.0554895,131846685.44681571,3945476.713082863,4320000.0,137.35985189755823,144.69538718736715
661,614592883.6329042,144387168.04436904,3927337.6577961603,4320000.0,147.9306130111833,156.05921996857464
662,605107982.0049405,142860307.70394197,3914520.006541153,4320000.0,146.23970024575723,153.93846703318005
663,566589197.089127,131346121.68127777,3929268.2056359802,4320000.0,136.5060787966284,143.8143708862414
664,598489802.6859797,140291356.91480774,3933396.0152445612,4320000.0,143.8943904143826,151.62854616660928
665,591441762.336749,138502672.3830805,3925268.3802373842,4320000.0,142.4440038348765,150.0951423886518
666,578201957.079873,137132444.4340102,3937931.926390266,4320000.0,139.1463316074528,146.55244874830043
667,588494650.530335,138937762.75151473,3920808.7146253963,4320000.0,142.16001047497744,149.85652934227917
668,576168880.4802139,135072283.35841754,3910256.1544453837,4320000.0,139.1573704877697,146.50000446622633
669,611313163.0913256,145691543.94908753,3921018.6580727315,4320000.0,147.37720497817125,155.18877530364313
670,579211550.9295436,134367683.3101789,3937991.271565684,4320000.0,139.2469567798901,146.77458089263112
671,595597466.8638587,140927904.96373203,3941972.244217861,4320000.0,142.93563562378003,150.70038471055165
672,575076680.2145673,137607547.8323622,3920159.7512855995,4320000.0,138.6608211651491,146.201867223512
673,590990663.4419563,138381472.08557275,3921756.6783868833,4320000.0,142.63953676516257,150.1359301706755
674,615269617.4679443,145607848.5424057,3928730.377465407,4320000.0,148.2069894251328,156.1330749514832
675,587824919.2314123,135360274.4984164,3933614.2766238376,4320000.0,141.2271453685113,148.7694382749464
676,581752768.8876863,135195560.34997922,3927677.8506437596,4320000.0,139.98838727217824,147.53582641946429
677,628932756.9032365,152034099.3960262,3931823.7978720246,4320000.0,150.99307982379432,159.1006793483181
678,599310965.4340181,142070758.72977525,3924130.9389538714,4320000.0,144.56343698323488,152.30433372543428
679,586115588.9834548,139802945.6206843,3914129.7858136417,4320000.0,141.70586388630997,149.3549137735617
680,618602294.2490742,145532674.6383512,3926626.678190721,4320000.0,148.85676511388348,156.9482026382944
681,615515061.1680233,144940817.36115295,3929359.0858589537,4320000.0,148.39671033099975,156.378780960596
682,597285411.6352539,139466022.74220213,3939413.6124702017,4320000.0,143.5676815130607,151.2779479595818
683,602099045.6468071,142203682.90599138,3947234.9076728798,4320000.0,144.37227568236216,152.06962074029988
684,561429403.4753289,129631497.94456321,3927353.7383192573,4320000.0,135.32311260545168,142.4903546241256
685,576105654.7791784,135321943.22530547,3920334.9009525664,4320000.0,139.23854974691847,146.59746626580926
686,586888788.1449839,135834317.67018175,3947380.9205154134,4320000.0,140.6137734350044,148.13801720943178
687,599299728.4137355,140462111.2174132,3917186.1227851375,4320000.0,144.777598096941,152.41552200852266
688,600423537.2850183,140932086.88636604,3941665.583487052,4320000.0,144.1806456817478,151.92174132242457
689,591810468.6124995,138518259.89485338,3930280.159727941,4320000.0,142.51433343813858,150.10193109892174
690,613010685.1357597,143523153.96656302,3955080.7227161652,4320000.0,146.66415910035053,154.55876068952279
691,569554979.5474751,133489399.57711755,3917107.861501552,4320000.0,137.97090938152917,145.39191918521882
692,614493409.2011377,144988527.68820104,3928111.670744774,4320000.0,148.0300124534254,155.9600682523833
693,599303008.7887683,141313966.8610206,3932622.6667348454,4320000.0,144.47200350292945,152.07869328418357
694,607067827.0954161,146326409.2567602,3905903.593319678,4320000.0,147.0709089343114,154.9135232412323
695,612976679.205586,141611498.645596,3920523.3245497323,4320000.0,148.1397927521608,155.96919414917903
696,613629498.8902799,147724246.66600618,3950427.291351221,4320000.0,147.0420353791162,154.8868807159511
697,602530587.069868,142638102.9137194,3920585.904837016,4320000.0,145.4647633959168,153.16710709190983
698,588918517.6379349,141338601.25088498,3900802.5786187914,4320000.0,142.96280604061147,150.6295322102548
699,598707680.6331584,140733261.34497428,3941214.0154738985,4320000.0,143.60675881281162,151.27975231191357
700,571711065.649539,136301910.43939257,3907830.685886983,4320000.0,138.3653804655038,145.753365370117
701,605617230.6082639,145101073.28106856,3934437.042979527,4320000.0,145.4476606035346,153.15731186752768
702,588617824.1377186,141586789.34860006,3913195.4178103027,4320000.0,142.27134231156944,149.99894103235778
703,571862026.4829221,135580968.0141313,3949425.511541791,4320000.0,136.97131075245127,144.36361119538577
704,586701893.2648014,141587764.68582985,3917416.26139052,4320000.0,141.88897559090816,149.50552012053808
705,581880648.9979668,135479507.27112836,3931605.6435622727,4320000.0,140.0502722929076,147.47525185814848
706,590845484.210482,141018335.56630057,3908829.272554142,4320000.0,143.03351899442717,150.63640529619315
707,589100612.3784409,139042381.54262725,3923831.438171653,4320000.0,141.89438532082113,149.380333071573
708,550293294.0603402,128013205.28436942,3930198.5490263277,4320000.0,132.44215532440782,139.52524977296946
709,565944325.1069396,135690141.27854493,3939073.4046313586,4320000.0,136.0409052182373,143.23556982111253
710,564769786.6529765,132827724.62193143,3927872.6727222838,4320000.0,136.2864236310278,143.52665995558345
711,584089328.1127473,135495485.6863283,3926043.5582507146,4320000.0,140.70046571946662,148.26033348561444
712,584571958.7873359,135985954.2982588,3919833.2730611386,4320000.0,140.9786858326979,148.45033950241915
713,594732613.6436833,143346989.35961527,3917638.115797296,4320000.0,143.55236315765194,151.22586697302214
714,568350956.0458382,135802159.64933085,3926685.3217218397,4320000.0,136.93117169695464,144.2454524842701
715,561045711.8814995,132636550.41067944,3911238.7415984706,4320000.0,136.0092599514075,143.21220695761926
716,595637933.3973479,141233304.7614563,3941842.00265324,4320000.0,142.83597961417212,150.53097033677062
717,601535922.8512208,144771041.4034713,3916869.215926266,4320000.0,145.35986945896053,153.21259689796432
718,574791022.2113949,136425360.42339998,3944551.56777977,4320000.0,137.8526000802337,145.25133788555493
719,600245240.6572715,141760630.32386366,3915371.681753508,4320000.0,145.2322418570008,152.8755967780895
720,578662492.794493,139535877.30638787,3926829.963887249,4320000.0,139.36587178569528,146.8667897404312
721,568836344.5535495,133236742.80531587,3940476.008843219,4320000.0,136.62439797119475,143.89379122920428
722,586829183.2306368,137230364.19188905,3920752.30275034,4320000.0,141.59537137258346,149.16611411417307
